	Project	Sub_Location	Location	Season	Month	Year	Sample_Type	Sample_ID	Day
PR489A	S015	LP1L-ENR	LP-ENR	D	May	2023	E	PR489A	24
PR490A	S015	LP2-ENR	LP-ENR	D	May	2023	E	PR490A	24
PR491A	S015	LP3-ENR	LP-ENR	D	May	2023	E	PR491A	27
PR492A	S015	LP4-ENR	LP-ENR	D	May	2023	E	PR492A	24
PR493A	S015	LP5-ENR	LP-ENR	D	May	2023	E	PR493A	29
18	S003	LSJ3	LSJ	W	August	2021	N	18	29
pr267a	S003	LSJ3	LSJ	D	December	2021	N	pr267a	29
pr290a	S003	LSJ3	LSJ	D	December	2021	N	pr290a	29
PR558A	S015	LSJ1	LSJ	W	July	2021	N	PR558A	31
PR557A	S015	LSJ2	LSJ	W	July	2021	N	PR557A	31
PR566A	S015	LSJ3	LSJ	W	July	2021	N	PR566A	31
lsj3-3	S003	LSJ3	LSJ	W	July	2021	N	lsj3-3	31
lsj3-2	S003	LSJ3	LSJ	W	June	2021	N	lsj3-2	17
lsj3-1	S003	LSJ3	LSJ	D	May	2021	N	lsj3-1	17
pr247a	S003	LSJ3	LSJ	W	November	2021	N	pr247a	23
220	S003	LSJ3	LSJ	W	October	2021	N	220	23
PR147C	S015	LSJ1	LSJ	W	September	2021	N	PR147C	23
PR149C	S015	LSJ2	LSJ	W	September	2021	N	PR149C	23
PR105C	S015	LSJ3	LSJ	W	September	2021	N	PR105C	23
104	S003	LSJ3	LSJ	W	September	2021	N	104	23
PR421	S015	LSJ1	LSJ	D	April	2022	N	PR421	23
PR420	S015	LSJ2	LSJ	D	April	2022	N	PR420	23
PR317	S015	LSJ1	LSJ	D	January	2022	N	PR317	23
PR316	S015	LSJ2	LSJ	D	January	2022	N	PR316	24
PR334	S015	LSJ3	LSJ	D	January	2022	N	PR334	24
PR402	S015	LSJ3	LSJ	D	March	2022	N	PR402	23
PR479A	S015	LSJ1-ENR	LSJ-ENR	D	May	2023	E	PR479A	24
PR480A	S015	LSJ2-ENR	LSJ-ENR	D	May	2023	E	PR480A	25
PR555A	S015	LT1	LT	W	July	2021	N	PR555A	25
PR554A	S015	LT2	LT	W	July	2021	N	PR554A	25
PR139C	S015	LT1	LT	W	September	2021	N	PR139C	25
PR141C	S015	LT2	LT	W	September	2021	N	PR141C	25
PR416	S015	LT1	LT	D	April	2022	N	PR416	25
PR415	S015	LT2	LT	D	April	2022	N	PR415	24
PR311	S015	LT2	LT	D	January	2022	N	PR311	24
PR481A	S015	LT1-ENR	LT-ENR	D	May	2023	E	PR481A	24
PR482A	S015	LT2-ENR	LT-ENR	D	May	2023	E	PR482A	24
PR483A	S015	LT3-ENR	LT-ENR	D	May	2023	E	PR483A	24
Mock	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Mock	24
Undeter	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Undeter	24
B53	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B53	23
B84	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B84	N/A
B59	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B59	N/A
B43	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B43	N/A
B36	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B36	N/A
B44	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B44	N/A
B107	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B107	N/A
B90	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B90	N/A
B126	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B126	N/A
B141	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B141	N/A
B128	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B128	N/A
B152	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B152	N/A
B134	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B134	N/A
B132	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B132	N/A
B140	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B140	N/A
B89	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B89	N/A
B100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B100	N/A
B102	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B102	N/A
B60	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B60	N/A
B76	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B76	N/A
B56	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B56	N/A
blank	N/A	N/A	N/A	N/A	N/A	N/A	N/A	blank	N/A
blank2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	blank2	N/A
Mock-com	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Mock-com	N/A
B130	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B130	N/A
B136	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B136	N/A
B138	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B138	N/A
B33	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B33	N/A
B25	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B25	N/A
B41	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B41	N/A
B81	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B81	N/A
B68	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B68	N/A
B57	N/A	N/A	N/A	N/A	N/A	N/A	N/A	B57	N/A
