	Project	Location	Season	Month	Year	Sample_Type
PR491A	S015	LP3-ENR	D	May	2023	E
PR492A	S015	LP4-ENR	D	May	2023	E
PR493A	S015	LP5-ENR	D	May	2023	E
PR479A	S015	LSJ1-ENR	D	May	2023	E
PR480A	S015	LSJ2-ENR	D	May	2023	E
lsj3-1	S003	LSJ3	D	May	2021	N
PR481A	S015	LT1-ENR	D	May	2023	E
PR482A	S015	LT2-ENR	D	May	2023	E
PR483A	S015	LT3-ENR	D	May	2023	E
PR484A	S015	QB1-ENR	D	May	2023	E
PR485A	S015	QSA1-ENR	D	May	2023	E
PR471A	S015	RPN1-ENR	D	May	2023	E
Mock	N/A	N/A	N/A	N/A	N/A	N/A
Undeter	N/A	N/A	N/A	N/A	N/A	N/A
B53	N/A	N/A	N/A	N/A	N/A	N/A
B84	N/A	N/A	N/A	N/A	N/A	N/A
B59	N/A	N/A	N/A	N/A	N/A	N/A
B43	N/A	N/A	N/A	N/A	N/A	N/A
B36	N/A	N/A	N/A	N/A	N/A	N/A
B44	N/A	N/A	N/A	N/A	N/A	N/A
B107	N/A	N/A	N/A	N/A	N/A	N/A
B90	N/A	N/A	N/A	N/A	N/A	N/A
B126	N/A	N/A	N/A	N/A	N/A	N/A
B141	N/A	N/A	N/A	N/A	N/A	N/A
B128	N/A	N/A	N/A	N/A	N/A	N/A
B152	N/A	N/A	N/A	N/A	N/A	N/A
B134	N/A	N/A	N/A	N/A	N/A	N/A
B132	N/A	N/A	N/A	N/A	N/A	N/A
B140	N/A	N/A	N/A	N/A	N/A	N/A
B89	N/A	N/A	N/A	N/A	N/A	N/A
B100	N/A	N/A	N/A	N/A	N/A	N/A
B102	N/A	N/A	N/A	N/A	N/A	N/A
B60	N/A	N/A	N/A	N/A	N/A	N/A
B76	N/A	N/A	N/A	N/A	N/A	N/A
B56	N/A	N/A	N/A	N/A	N/A	N/A
blank	N/A	N/A	N/A	N/A	N/A	N/A
blank2	N/A	N/A	N/A	N/A	N/A	N/A
Mock-com	N/A	N/A	N/A	N/A	N/A	N/A
B130	N/A	N/A	N/A	N/A	N/A	N/A
B136	N/A	N/A	N/A	N/A	N/A	N/A
B138	N/A	N/A	N/A	N/A	N/A	N/A
B33	N/A	N/A	N/A	N/A	N/A	N/A
B25	N/A	N/A	N/A	N/A	N/A	N/A
B41	N/A	N/A	N/A	N/A	N/A	N/A
B81	N/A	N/A	N/A	N/A	N/A	N/A
B68	N/A	N/A	N/A	N/A	N/A	N/A
B57	N/A	N/A	N/A	N/A	N/A	N/A
B87	N/A	N/A	N/A	N/A	N/A	N/A
B91	N/A	N/A	N/A	N/A	N/A	N/A
B117	N/A	N/A	N/A	N/A	N/A	N/A
B143	N/A	N/A	N/A	N/A	N/A	N/A
B139	N/A	N/A	N/A	N/A	N/A	N/A
B154	N/A	N/A	N/A	N/A	N/A	N/A
B69	N/A	N/A	N/A	N/A	N/A	N/A
B52	N/A	N/A	N/A	N/A	N/A	N/A
B75	N/A	N/A	N/A	N/A	N/A	N/A
B99	N/A	N/A	N/A	N/A	N/A	N/A
B118	N/A	N/A	N/A	N/A	N/A	N/A
B124	N/A	N/A	N/A	N/A	N/A	N/A
B26	N/A	N/A	N/A	N/A	N/A	N/A
B34	N/A	N/A	N/A	N/A	N/A	N/A
B42	N/A	N/A	N/A	N/A	N/A	N/A
pr249a	S003	CMP2	W	November	2021	N
pr248a	S003	CMPE	W	November	2021	N
pr250a	S003	CMPW	W	November	2021	N
pr242a	S003	LP1	W	November	2021	N
pr247a	S003	LSJ3	W	November	2021	N
183	S003	CMP2	W	October	2021	N
218	S003	CMPE	W	October	2021	N
181	S003	CMPW	W	October	2021	N
198	S003	CS1	W	October	2021	N
239	S003	LP1	W	October	2021	N
220	S003	LSJ3	W	October	2021	N
PR160C	S015	BSJ2	W	September	2021	N
PR162C	S015	BSJ3	W	September	2021	N
PR164C	S015	CMP1	W	September	2021	N
PR102C	S015	CMP2	W	September	2021	N
101	S003	CMP2	W	September	2021	N
PR109C	S015	CMPE	W	September	2021	N
108	S003	CMPE	W	September	2021	N
PR107C	S015	CMPW	W	September	2021	N
106	S003	CMPW	W	September	2021	N
PR143C	S015	CS1	W	September	2021	N
142	S003	CS1	W	September	2021	N
PR145C	S015	CS2	W	September	2021	N
PR151C	S015	LLC1	W	September	2021	N
PR96C	S015	LP1	W	September	2021	N
95	S003	LP1	W	September	2021	N
PR147C	S015	LSJ1	W	September	2021	N
PR149C	S015	LSJ2	W	September	2021	N
PR105C	S015	LSJ3	W	September	2021	N
104	S003	LSJ3	W	September	2021	N
PR139C	S015	LT1	W	September	2021	N
PR141C	S015	LT2	W	September	2021	N
