Sample	Project	Sub_Location	Location	Season	Month	Year	Sample_Type	Sample_ID	Day	Station_ID	Station_Name	Collected_by	Time	Samples_Collected_by	Temperature_C	mm_Hg	DO_mg_L	DO_LDO	Specific_Conductance_uS_cm	Salinity_ppt	pH	pH_mv	IVCH_ug_L	Turbidity_ Fluorometer	Comments
PR400	S015	CMP2	CMP	D	March	2022	N	PR400	31	CMP2	Caño Martin Peña 2	Land	10:09 AM	ICC/APR/AVC	26.7	762.4	1.33	20.8	40680	25.83	7.37	-55.2	29.65	4.15	Water color: brown . It rained the day before and before the sampling event.  
PR425	S015	CMPE	CMPE	D	April	2022	N	PR425	5	CMPE	Caño Martin Peña East	Land	9:45 AM	ICC/VSB	29.1	761.8	7.19	101.1	17898	10.53	8.08	-99.9	311.2	23.37	Water color: green.
cmpe-1	S003	CMPE	CMPE	D	May	2021	N	cmpe-1	27	CMPE	Caño Martín Peña East	Land	9:15 AM	ICC/EFR	27.8	762.3	0.61	9.80%	5222	3.03	5.37	97.4	705.2	13.29	"Modified sampling location: 18.428407, -66.041791                                              The water looked a bit stagnant. The CMPE was for the most part clogged by various objects, mostly different types of plastics. Bad odor. It was drizzling while I was collecting the water sample. Water color: GREEN "
cmpe-2	S003	CMPE	CMPE	W	June	2021	N	cmpe-2	9	CMPE	Caño Martín Peña East	Land	9:08 AM	ICC/AMO/JOV	27.3	762.8	1.12	14.70%	834	0.41	4.7	136	48.66	10.13	"Modified sampling location: 18.428407,-66.041791.   The area around it has been cleaned, so the water flows and is no longer as stagnant as before. It rained the day before.                           "
cmpe-3	S003	CMPE	CMPE	W	July	2021	N	cmpe-3	1	CMPE	Caño Martin Peña East	Land	10:26 AM	ICC/MSM	29.6	762.2	5.6	75.10%	2292	1.17	7.13	-34	196.9	7.993	Water color: brown. It rained the day before.
44	S003	CMPE	CMPE	W	August	2021	N	44	25	CMPE	Caño Martin Peña East	Land	10:15 AM	ICC	30.2	759.5	9.83	136.00%	15021	8.66	7.76	-82.6	229.8	14.21	"Modified sampling location: 18.428407, -66.041791. Water color: brown. "
PR109C	S015	CMPE	CMPE	W	September	2021	N	PR109C	30	CMPE	Caño Martin Peña East	Land	9:45 AM	ICC/IGG/VSB	30.8	759.3	3	45.40%	21690	12.93	7.33	-55.8	106.2	10.35	 
218	S003	CMPE	CMPE	W	October	2021	N	218	26	CMPE	Caño Martin Peña East	Land	9:35 AM	ICC/MOL	29.6	762	3.5	50.40%	14520	8.37	7.45	-50.1	141.1	9.256	"Modified sampling location: 18.428407, -66.041791. Water color: brown. It rained the day before in the area."
pr248a	S003	CMPE	CMPE	W	November	2021	N	pr248a	10	CMPE	Caño Martin Peña East	Land	9:45 AM	JOV	29.6	761.2	4.48	65.10%	17537	10.27	7.26	-51.5	45.88	9.16	"Modified sampling location: 18.428407, -66.041791. Water color: brown. It rained a few minutes before collecting the sample. "
PR333	S015	CMPE	CMPE	D	January	2022	N	PR333	27	CMPE	Caño Martin Peña East	Land	10:32 AM	ICC/APR/AVC	28.2	762.7	3.43	51.00%	38266	24.31	7.33	-58.6	31.46	7.932	"Modified sampling location: 18.428407, -66.041791."
cmpw-1	S003	CMPW	CMPW	D	May	2021	N	cmpw-1	27	CMPW	Caño Martín Peña West	Land	10:07 AM	"NSN/Miredglie, Alejandra"	29.5	762.5	0.22	4.20%	34457	21.36	5.04	117.3	26.25	10.27	Bad odor. 
cmpw-2	S003	CMPW	CMPW	W	June	2021	N	cmpw-2	9	CMPW	Caño Martín Peña West	Land	10:08 AM	ICC/AMO/JOV	27.5	762.8	0.77	8.00%	8558	4.75	5.1	114.4	32.48	24.49	It rained the day before. Water color: brown
cmpw-3	S003	CMPW	CMPW	W	July	2021	N	cmpw-3	1	CMPW	Caño Martin Peña West	Land	11:16 AM	ICC/MSM	31.1	762.1	17.32	247.50%	19066	11.22	8.09	-100.3	243.6	7.687	Water color: brown. It rained the day before. There is a construction / excavation taking place near the station area.
42	S003	CMPW	CMPW	W	August	2021	N	42	25	CMPW	Caño Martin Peña West	Land	9:45 AM	ICC	29.9	759.3	2.44	38.10%	50250	32.77	7.28	-49.9	88.33	5.234	Water color: brown. There is a construction / excavation taking place near the station area.
PR107C	S015	CMPW	CMPW	W	September	2021	N	PR107C	30	CMPW	Caño Martin Peña West	Land	10:03 AM	ICC/IGG/VSB	30.2	759.2	3.33	58.30%	31684	19.61	7.13	-42.2	60.1	13.59	 
106	S003	CMPW	CMPW	W	September	2021	N	106	30	CMPW	Caño Martin Peña West	Land	10:03 AM	ICC/IGG/VSB	30.2	759.2	3.33	58.30%	31684	19.61	7.13	-42.2	60.1	13.59	 
181	S003	CMPW	CMPW	W	October	2021	N	181	14	CMPW	Caño Martin Peña West	Land	9:20 AM	ICC/MOL/VSB	28.7	757.6	2.7	39.80%	13490	7.69	7.14	-32.2	63.29	12.22	Water color: brown. It rained the day before.
pr250a	S003	CMPW	CMPW	W	November	2021	N	pr250a	10	CMPW	Caño Martin Peña West	Land	11:03 AM	JOV	29.7	760.9	1.95	31.20%	42912	26	7.14	-43.6	39.04	4.074	There is a construction / excavation taking place near the station area. High visible water level (*verify)
pr271a	S003	CMPW	CMPW	D	December	2021	N	pr271a	8	CMPW	Caño Martin Peña  West	Land	9:09 AM	ICC/VSB	25.8	762.7	2.25	30.70%	14415	8.34	7	-35	28.36	7.195	Water color: brown. It rained the day before. It was drizzling  before collecting the water sample. There is a construction / excavation taking place near the station area. The water looked like it had some kind of oil.
PR331	S015	CMPW	CMPW	D	January	2022	N	PR331	27	CMPW	Caño Martin Peña  West	Land	8:39 AM	ICC/APR/AVC	27.9	762.8	2.77	45.20%	48055	31.26	7.51	-69.2	17.12	5.133	Water color: brown.  There is a construction / excavation taking place near the station area. The water looked like it had some kind of oil.
PR401	S015	CMPW	CMPW	D	March	2022	N	PR401	31	CMPW	Caño Martin Peña  West	Land	10:41 AM	APR/AVC	28.9	762.6	3.41	52.3	43076	29.46	7.66	-72.2	27.28	7.626	Water color: brownish . It rained the day before and before the sampling event.  Bad smell.
cs1-1	S003	CS1	CS	D	May	2021	N	cs1-1	26	CS1	Channel Suarez 1	Boat	10:19 AM	ICC	29.4	763.2	7.9	113.40%	26884	16.39	5.95	62.5	78.67	5.061	water color: brown
cs1-2	S003	CS1	CS	W	June	2021	N	cs1-2	30	CS1	Channel Suarez 1	Boat	10:19 AM	ICC	29.5	762.2	5.99	85.60%	21703	12.96	7.87	-85.1	44.32	4.598	Water color: dark brown 
cs1-3	S003	CS1	CS	W	July	2021	N	cs1-3	19	CS1	Channel Suarez 1	Boat	10:12 AM	ICC	30.2	763.4	6.98	100.10%	21089	12.54	8.08	-102.4	42	5.744	Water color: brown
63	S003	CS1	CS	W	August	2021	N	63	23	CS1	Channel Suarez 1	Boat	10:47 AM	ICC	29.3	760.2	5.4	74.80%	23169	13.93	7.56	-68.2	24.11	2.635	Water color: dark brown
142	S003	CS1	CS	W	September	2021	N	142	27	CS1	Channel Suarez 1	Boat	11:11 AM	ICC	31.6	760.4	4.03	66.80%	20149	11.92	7.52	-68.8	18.49	2.8	Water color: greenish
198	S003	CS1	CS	W	October	2021	N	198	25	CS1	Channel Suarez 1	Boat	10:34 AM	ICC/AMO/JOV	29.7	762.3	4.63	62.30%	16452	9.58	7.69	-69	57.33	4.976	Water color: brown. 
pr262a	S003	CS1	CS	D	December	2021	N	pr262a	1	CS1	Channel Suarez 1	Boat	11:15 AM	ICC	28.3	762.7	2.43	33.00%	21857	13.06	7.37	-53	10.9	1.635	Water color: brown. It rained the day before. It was drizzling before collecting the water sample.
PR315	S015	CS1	CS	D	January	2022	N	PR315	24	CS1	Channel Suarez 1	Boat	N/A	ICC	27.025	N/A	5.41	72.90%	21.181	12.66	8.16	N/A	N/A	0.88	Water color: green. 
PR419	S015	CS1	CS	D	April	2022	N	PR419	1	CS1	Channel Suarez 1	Boat	11:01 AM	ICC	27.5	763.2	6.6	90.3	21072	12.57	8.38	-116.5	35.33	5.786	Water color: green. It rained the day before  the sampling event. 
